pin,slack
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:CI,11417
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[0],12271
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[10],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[11],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[1],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[2],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[3],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[4],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[5],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[6],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[7],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[8],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:P[9],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[0],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[10],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[11],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[1],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[2],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[3],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[4],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[5],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[6],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[7],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[8],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:UB[9],
clk_ibuf/U0/U_IOINFF:A,
clk_ibuf/U0/U_IOINFF:Y,
Initial_blinking_SW2/cnt[26]:ADn,
Initial_blinking_SW2/cnt[26]:ALn,16181
Initial_blinking_SW2/cnt[26]:CLK,12620
Initial_blinking_SW2/cnt[26]:D,11467
Initial_blinking_SW2/cnt[26]:EN,
Initial_blinking_SW2/cnt[26]:LAT,
Initial_blinking_SW2/cnt[26]:Q,12620
Initial_blinking_SW2/cnt[26]:SD,
Initial_blinking_SW2/cnt[26]:SLn,
Initial_blinking_SW1/cnt[19]:ADn,
Initial_blinking_SW1/cnt[19]:ALn,16180
Initial_blinking_SW1/cnt[19]:CLK,12733
Initial_blinking_SW1/cnt[19]:D,11238
Initial_blinking_SW1/cnt[19]:EN,
Initial_blinking_SW1/cnt[19]:LAT,
Initial_blinking_SW1/cnt[19]:Q,12733
Initial_blinking_SW1/cnt[19]:SD,
Initial_blinking_SW1/cnt[19]:SLn,
clk_ibuf_RNIVTI2/U0_RGB1_RGB0:An,
clk_ibuf_RNIVTI2/U0_RGB1_RGB0:ENn,
clk_ibuf_RNIVTI2/U0_RGB1_RGB0:YL,
clk_ibuf_RNIVTI2/U0_RGB1_RGB0:YR,
Initial_blinking_SW1/un7_cntlto31_0_a3:A,16134
Initial_blinking_SW1/un7_cntlto31_0_a3:B,16350
