pin,slack
Initial_blinking_SW1/cnt[15]:ALn,16174
Initial_blinking_SW1/cnt[15]:CLK,13492
Initial_blinking_SW1/cnt[15]:D,12306
Initial_blinking_SW1/cnt[15]:EN,
Initial_blinking_SW1/cnt[15]:LAT,
Initial_blinking_SW1/cnt[15]:Q,13492
Initial_blinking_SW1/cnt[15]:SD,
Initial_blinking_SW1/cnt[15]:SLn,
Fast_clk_SW2/cnt[18]:ADn,
Fast_clk_SW2/cnt[18]:ALn,16174
Fast_clk_SW2/cnt[18]:CLK,14105
Fast_clk_SW2/cnt[18]:D,12159
Fast_clk_SW2/cnt[18]:EN,
Fast_clk_SW2/cnt[18]:LAT,
Fast_clk_SW2/cnt[18]:Q,14105
Fast_clk_SW2/cnt[18]:SD,
Fast_clk_SW2/cnt[18]:SLn,
Initial_blinking_SW1/cnt[22]:ADn,
Initial_blinking_SW1/cnt[22]:ALn,16174
Initial_blinking_SW1/cnt[22]:CLK,13443
Initial_blinking_SW1/cnt[22]:D,12173
Initial_blinking_SW1/cnt[22]:EN,
Initial_blinking_SW1/cnt[22]:LAT,
Initial_blinking_SW1/cnt[22]:Q,13443
Initial_blinking_SW1/cnt[22]:SD,
Initial_blinking_SW1/cnt[22]:SLn,
Fast_clk_SW1/cnt[14]:ADn,
Fast_clk_SW1/cnt[14]:ALn,16174
Fast_clk_SW1/cnt[14]:CLK,13569
Fast_clk_SW1/cnt[14]:D,12243
Fast_clk_SW1/cnt[14]:EN,
Fast_clk_SW1/cnt[14]:LAT,
Fast_clk_SW1/cnt[14]:Q,13569
Fast_clk_SW1/cnt[14]:SD,
Fast_clk_SW1/cnt[14]:SLn,
Initial_blinking_SW2/cnt[13]:ADn,
Initial_blinking_SW2/cnt[13]:ALn,16174
Initial_blinking_SW2/cnt[13]:CLK,11009
Initial_blinking_SW2/cnt[13]:D,11142
Initial_blinking_SW2/cnt[13]:EN,
Initial_blinking_SW2/cnt[13]:LAT,
Initial_blinking_SW2/cnt[13]:Q,11009
Initial_blinking_SW2/cnt[13]:SD,
Initial_blinking_SW2/cnt[13]:SLn,
Initial_blinking_SW2/tmp_clk:ADn,
Initial_blinking_SW2/tmp_clk:ALn,16174
Initial_blinking_SW2/tmp_clk:CLK,17476
Initial_blinking_SW2/tmp_clk:D,12788
Initial_blinking_SW2/tmp_clk:EN,
Initial_blinking_SW2/tmp_clk:LAT,
Initial_blinking_SW2/tmp_clk:Q,17476
Initial_blinking_SW2/tmp_clk:SD,
Initial_blinking_SW2/tmp_clk:SLn,
Initial_blinking_SW2/cnt[15]:ADn,
Initial_blinking_SW2/cnt[15]:ALn,16174
Initial_blinking_SW2/cnt[15]:CLK,11154
Initial_blinking_SW2/cnt[15]:D,11108
Initial_blinking_SW2/cnt[15]:EN,
Initial_blinking_SW2/cnt[15]:LAT,
Initial_blinking_SW2/cnt[15]:Q,11154
Initial_blinking_SW2/cnt[15]:SD,
Initial_blinking_SW2/cnt[15]:SLn,
Display_out/green_led1:ADn,
Display_out/green_led1:ALn,16174
Display_out/green_led1:CLK,
Display_out/green_led1:D,17329
Display_out/green_led1:EN,
Display_out/green_led1:LAT,
Display_out/green_led1:Q,
Display_out/green_led1:SD,
Display_out/green_led1:SLn,
Fast_clk_SW2/cnt_RNIIRHIB[2]:A,
Fast_clk_SW2/cnt_RNIIRHIB[2]:B,12064
Fast_clk_SW2/cnt_RNIIRHIB[2]:C,16920
Fast_clk_SW2/cnt_RNIIRHIB[2]:D,
Fast_clk_SW2/cnt_RNIIRHIB[2]:FCI,12026
Fast_clk_SW2/cnt_RNIIRHIB[2]:FCO,12026
Fast_clk_SW2/cnt_RNIIRHIB[2]:S,12463
Clear_outputs/reset_RNO:A,
Clear_outputs/reset_RNO:B,
Clear_outputs/reset_RNO:Y,
Initial_blinking_SW1/cnt_RNIUC45A1[17]:A,
Initial_blinking_SW1/cnt_RNIUC45A1[17]:B,12439
Initial_blinking_SW1/cnt_RNIUC45A1[17]:C,17189
Initial_blinking_SW1/cnt_RNIUC45A1[17]:D,
Initial_blinking_SW1/cnt_RNIUC45A1[17]:FCI,12116
Initial_blinking_SW1/cnt_RNIUC45A1[17]:FCO,12116
Initial_blinking_SW1/cnt_RNIUC45A1[17]:S,12268
Initial_blinking_SW1/cnt[24]:ADn,
Initial_blinking_SW1/cnt[24]:ALn,16174
Initial_blinking_SW1/cnt[24]:CLK,14325
Initial_blinking_SW1/cnt[24]:D,12135
Initial_blinking_SW1/cnt[24]:EN,
Initial_blinking_SW1/cnt[24]:LAT,
Initial_blinking_SW1/cnt[24]:Q,14325
Initial_blinking_SW1/cnt[24]:SD,
Initial_blinking_SW1/cnt[24]:SLn,
Initial_blinking_SW1/cnt_RNI3G6K8[2]:A,
Initial_blinking_SW1/cnt_RNI3G6K8[2]:B,12154
Initial_blinking_SW1/cnt_RNI3G6K8[2]:C,16920
Initial_blinking_SW1/cnt_RNI3G6K8[2]:D,
Initial_blinking_SW1/cnt_RNI3G6K8[2]:FCI,12116
Initial_blinking_SW1/cnt_RNI3G6K8[2]:FCO,12116
Initial_blinking_SW1/cnt_RNI3G6K8[2]:S,12553
green_led2_obuf/U0/U_IOOUTFF:A,
green_led2_obuf/U0/U_IOOUTFF:Y,
Initial_blinking_SW1/cnt_RNIUSGC6[1]:A,
Initial_blinking_SW1/cnt_RNIUSGC6[1]:B,12135
Initial_blinking_SW1/cnt_RNIUSGC6[1]:C,16901
Initial_blinking_SW1/cnt_RNIUSGC6[1]:D,
Initial_blinking_SW1/cnt_RNIUSGC6[1]:FCI,12116
Initial_blinking_SW1/cnt_RNIUSGC6[1]:FCO,12116
Initial_blinking_SW1/cnt_RNIUSGC6[1]:S,12554
green_led2_obuf/U0/U_IOPAD:D,
green_led2_obuf/U0/U_IOPAD:E,
green_led2_obuf/U0/U_IOPAD:PAD,
Fast_clk_SW2/cnt[25]:ADn,
Fast_clk_SW2/cnt[25]:ALn,16174
Fast_clk_SW2/cnt[25]:CLK,14402
Fast_clk_SW2/cnt[25]:D,12026
Fast_clk_SW2/cnt[25]:EN,
Fast_clk_SW2/cnt[25]:LAT,
Fast_clk_SW2/cnt[25]:Q,14402
Fast_clk_SW2/cnt[25]:SD,
Fast_clk_SW2/cnt[25]:SLn,
Initial_blinking_SW1/un14_cntlto31_0_o3_0:A,13542
Initial_blinking_SW1/un14_cntlto31_0_o3_0:B,13492
Initial_blinking_SW1/un14_cntlto31_0_o3_0:C,12118
Initial_blinking_SW1/un14_cntlto31_0_o3_0:D,12116
Initial_blinking_SW1/un14_cntlto31_0_o3_0:Y,12116
Fast_clk_SW1/cnt_RNICOU4H[5]:A,
Fast_clk_SW1/cnt_RNICOU4H[5]:B,12148
Fast_clk_SW1/cnt_RNICOU4H[5]:C,16988
Fast_clk_SW1/cnt_RNICOU4H[5]:D,
Fast_clk_SW1/cnt_RNICOU4H[5]:FCI,12053
Fast_clk_SW1/cnt_RNICOU4H[5]:FCO,12053
Fast_clk_SW1/cnt_RNICOU4H[5]:S,12414
Fast_clk_SW1/cnt_RNI8IMKE[4]:A,
Fast_clk_SW1/cnt_RNI8IMKE[4]:B,12129
Fast_clk_SW1/cnt_RNI8IMKE[4]:C,16977
Fast_clk_SW1/cnt_RNI8IMKE[4]:D,
Fast_clk_SW1/cnt_RNI8IMKE[4]:FCI,12053
Fast_clk_SW1/cnt_RNI8IMKE[4]:FCO,12053
Fast_clk_SW1/cnt_RNI8IMKE[4]:S,12433
Fast_clk_SW2/cnt_RNIBISU42[20]:A,
Fast_clk_SW2/cnt_RNIBISU42[20]:B,12406
Fast_clk_SW2/cnt_RNIBISU42[20]:C,17254
Fast_clk_SW2/cnt_RNIBISU42[20]:D,
Fast_clk_SW2/cnt_RNIBISU42[20]:FCI,12026
Fast_clk_SW2/cnt_RNIBISU42[20]:FCO,12026
Fast_clk_SW2/cnt_RNIBISU42[20]:S,12121
Fast_clk_SW1/cnt_RNIPOG421[12]:A,
Fast_clk_SW1/cnt_RNIPOG421[12]:B,12281
Fast_clk_SW1/cnt_RNIPOG421[12]:C,17121
Fast_clk_SW1/cnt_RNIPOG421[12]:D,
Fast_clk_SW1/cnt_RNIPOG421[12]:FCI,12053
Fast_clk_SW1/cnt_RNIPOG421[12]:FCO,12053
Fast_clk_SW1/cnt_RNIPOG421[12]:S,12281
Fast_clk_SW1/cnt[23]:ADn,
Fast_clk_SW1/cnt[23]:ALn,16174
Fast_clk_SW1/cnt[23]:CLK,14299
Fast_clk_SW1/cnt[23]:D,12072
Fast_clk_SW1/cnt[23]:EN,
Fast_clk_SW1/cnt[23]:LAT,
Fast_clk_SW1/cnt[23]:Q,14299
Fast_clk_SW1/cnt[23]:SD,
Fast_clk_SW1/cnt[23]:SLn,
Fast_clk_SW2/un7_cntlto31_0_a2_0:A,13997
Fast_clk_SW2/un7_cntlto31_0_a2_0:B,13941
Fast_clk_SW2/un7_cntlto31_0_a2_0:C,12703
Fast_clk_SW2/un7_cntlto31_0_a2_0:D,11512
Fast_clk_SW2/un7_cntlto31_0_a2_0:Y,11512
Initial_blinking_SW2/cnt_RNI819V42[22]:A,
Initial_blinking_SW2/cnt_RNI819V42[22]:B,11278
Initial_blinking_SW2/cnt_RNI819V42[22]:C,17264
Initial_blinking_SW2/cnt_RNI819V42[22]:D,
Initial_blinking_SW2/cnt_RNI819V42[22]:FCI,10904
Initial_blinking_SW2/cnt_RNI819V42[22]:FCO,10904
Initial_blinking_SW2/cnt_RNI819V42[22]:S,10989
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:A,
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:B,11159
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:C,17132
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:D,
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:FCI,10904
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:FCO,10904
Initial_blinking_SW2/cnt_RNIAIOQH1[15]:S,11108
Fast_clk_SW2/un14_cntlto31_0_o3:A,14549
Fast_clk_SW2/un14_cntlto31_0_o3:B,13186
Fast_clk_SW2/un14_cntlto31_0_o3:C,14402
Fast_clk_SW2/un14_cntlto31_0_o3:D,14272
Fast_clk_SW2/un14_cntlto31_0_o3:Y,13186
Initial_blinking_SW1/cnt[0]:ADn,
Initial_blinking_SW1/cnt[0]:ALn,16174
Initial_blinking_SW1/cnt[0]:CLK,16882
Initial_blinking_SW1/cnt[0]:D,12554
Initial_blinking_SW1/cnt[0]:EN,
Initial_blinking_SW1/cnt[0]:LAT,
Initial_blinking_SW1/cnt[0]:Q,16882
Initial_blinking_SW1/cnt[0]:SD,
Initial_blinking_SW1/cnt[0]:SLn,
Initial_blinking_SW2/cnt_RNI4GAR1[17]:A,13422
Initial_blinking_SW2/cnt_RNI4GAR1[17]:B,10904
Initial_blinking_SW2/cnt_RNI4GAR1[17]:C,13278
Initial_blinking_SW2/cnt_RNI4GAR1[17]:D,13158
Initial_blinking_SW2/cnt_RNI4GAR1[17]:Y,10904
Initial_blinking_SW1/cnt[12]:ADn,
Initial_blinking_SW1/cnt[12]:ALn,16174
Initial_blinking_SW1/cnt[12]:CLK,12116
Initial_blinking_SW1/cnt[12]:D,12363
Initial_blinking_SW1/cnt[12]:EN,
Initial_blinking_SW1/cnt[12]:LAT,
Initial_blinking_SW1/cnt[12]:Q,12116
Initial_blinking_SW1/cnt[12]:SD,
Initial_blinking_SW1/cnt[12]:SLn,
Fast_clk_SW1/un14_cntlto31_0_o2_0:A,12410
Fast_clk_SW1/un14_cntlto31_0_o2_0:B,12360
Fast_clk_SW1/un14_cntlto31_0_o2_0:C,12263
Fast_clk_SW1/un14_cntlto31_0_o2_0:Y,12263
Fast_clk_SW1/cnt_RNILV1391[15]:A,
Fast_clk_SW1/cnt_RNILV1391[15]:B,12338
Fast_clk_SW1/cnt_RNILV1391[15]:C,17170
Fast_clk_SW1/cnt_RNILV1391[15]:D,
Fast_clk_SW1/cnt_RNILV1391[15]:FCI,12053
Fast_clk_SW1/cnt_RNILV1391[15]:FCO,12053
Fast_clk_SW1/cnt_RNILV1391[15]:S,12224
Initial_blinking_SW1/cnt[20]:ADn,
Initial_blinking_SW1/cnt[20]:ALn,16174
Initial_blinking_SW1/cnt[20]:CLK,13296
Initial_blinking_SW1/cnt[20]:D,12211
Initial_blinking_SW1/cnt[20]:EN,
Initial_blinking_SW1/cnt[20]:LAT,
Initial_blinking_SW1/cnt[20]:Q,13296
Initial_blinking_SW1/cnt[20]:SD,
Initial_blinking_SW1/cnt[20]:SLn,
Clear_outputs/reset_RNIREK/U0_RGB1:An,
Clear_outputs/reset_RNIREK/U0_RGB1:ENn,
Clear_outputs/reset_RNIREK/U0_RGB1:YL,16174
Initial_blinking_SW2/cnt[12]:ADn,
Initial_blinking_SW2/cnt[12]:ALn,16174
Initial_blinking_SW2/cnt[12]:CLK,12351
Initial_blinking_SW2/cnt[12]:D,11159
Initial_blinking_SW2/cnt[12]:EN,
Initial_blinking_SW2/cnt[12]:LAT,
Initial_blinking_SW2/cnt[12]:Q,12351
Initial_blinking_SW2/cnt[12]:SD,
Initial_blinking_SW2/cnt[12]:SLn,
Initial_blinking_SW1/un7_cntlto31_0_a2_0:A,13946
Initial_blinking_SW1/un7_cntlto31_0_a2_0:B,13890
Initial_blinking_SW1/un7_cntlto31_0_a2_0:C,11541
Initial_blinking_SW1/un7_cntlto31_0_a2_0:D,12572
Initial_blinking_SW1/un7_cntlto31_0_a2_0:Y,11541
Fast_clk_SW2/cnt[20]:ADn,
Fast_clk_SW2/cnt[20]:ALn,16174
Fast_clk_SW2/cnt[20]:CLK,12991
Fast_clk_SW2/cnt[20]:D,12121
Fast_clk_SW2/cnt[20]:EN,
Fast_clk_SW2/cnt[20]:LAT,
Fast_clk_SW2/cnt[20]:Q,12991
Fast_clk_SW2/cnt[20]:SD,
Fast_clk_SW2/cnt[20]:SLn,
Fast_clk_SW2/cnt[11]:ADn,
Fast_clk_SW2/cnt[11]:ALn,16174
Fast_clk_SW2/cnt[11]:CLK,13492
Fast_clk_SW2/cnt[11]:D,12292
Fast_clk_SW2/cnt[11]:EN,
Fast_clk_SW2/cnt[11]:LAT,
Fast_clk_SW2/cnt[11]:Q,13492
Fast_clk_SW2/cnt[11]:SD,
Fast_clk_SW2/cnt[11]:SLn,
Initial_blinking_SW2/cnt[7]:ADn,
Initial_blinking_SW2/cnt[7]:ALn,16174
Initial_blinking_SW2/cnt[7]:CLK,14243
Initial_blinking_SW2/cnt[7]:D,11244
Initial_blinking_SW2/cnt[7]:EN,
Initial_blinking_SW2/cnt[7]:LAT,
Initial_blinking_SW2/cnt[7]:Q,14243
Initial_blinking_SW2/cnt[7]:SD,
Initial_blinking_SW2/cnt[7]:SLn,
Initial_blinking_SW1/cnt[14]:ADn,
Initial_blinking_SW1/cnt[14]:ALn,16174
Initial_blinking_SW1/cnt[14]:CLK,12263
Initial_blinking_SW1/cnt[14]:D,12325
Initial_blinking_SW1/cnt[14]:EN,
Initial_blinking_SW1/cnt[14]:LAT,
Initial_blinking_SW1/cnt[14]:Q,12263
Initial_blinking_SW1/cnt[14]:SD,
Initial_blinking_SW1/cnt[14]:SLn,
Fast_clk_SW1/cnt[25]:ADn,
Fast_clk_SW1/cnt[25]:ALn,16174
Fast_clk_SW1/cnt[25]:CLK,14271
Fast_clk_SW1/cnt[25]:D,12104
Fast_clk_SW1/cnt[25]:EN,
Fast_clk_SW1/cnt[25]:LAT,
Fast_clk_SW1/cnt[25]:Q,14271
Fast_clk_SW1/cnt[25]:SD,
Fast_clk_SW1/cnt[25]:SLn,
Initial_blinking_SW1/un14_cntlto31_0_a2_1_3:A,11795
Initial_blinking_SW1/un14_cntlto31_0_a2_1_3:B,11739
Initial_blinking_SW1/un14_cntlto31_0_a2_1_3:C,11651
Initial_blinking_SW1/un14_cntlto31_0_a2_1_3:D,11541
Initial_blinking_SW1/un14_cntlto31_0_a2_1_3:Y,11541
Initial_blinking_SW1/cnt_RNI1H40V[12]:A,
Initial_blinking_SW1/cnt_RNI1H40V[12]:B,12344
Initial_blinking_SW1/cnt_RNI1H40V[12]:C,17102
Initial_blinking_SW1/cnt_RNI1H40V[12]:D,
Initial_blinking_SW1/cnt_RNI1H40V[12]:FCI,12116
Initial_blinking_SW1/cnt_RNI1H40V[12]:FCO,12116
Initial_blinking_SW1/cnt_RNI1H40V[12]:S,12363
Fast_clk_SW2/un7_cntlto31_0_a2_1:A,11512
Fast_clk_SW2/un7_cntlto31_0_a2_1:B,12719
Fast_clk_SW2/un7_cntlto31_0_a2_1:Y,11512
Fast_clk_SW2/cnt_RNIFH2CH[4]:A,
Fast_clk_SW2/cnt_RNIFH2CH[4]:B,12102
Fast_clk_SW2/cnt_RNIFH2CH[4]:C,16958
Fast_clk_SW2/cnt_RNIFH2CH[4]:D,
Fast_clk_SW2/cnt_RNIFH2CH[4]:FCI,12026
Fast_clk_SW2/cnt_RNIFH2CH[4]:FCO,12026
Fast_clk_SW2/cnt_RNIFH2CH[4]:S,12425
clk_ibuf_RNIVTI2/U0:An,
clk_ibuf_RNIVTI2/U0:ENn,
clk_ibuf_RNIVTI2/U0:YWn,
Initial_blinking_SW2/cnt[14]:ADn,
Initial_blinking_SW2/cnt[14]:ALn,16174
Initial_blinking_SW2/cnt[14]:CLK,11101
Initial_blinking_SW2/cnt[14]:D,11125
Initial_blinking_SW2/cnt[14]:EN,
Initial_blinking_SW2/cnt[14]:LAT,
Initial_blinking_SW2/cnt[14]:Q,11101
Initial_blinking_SW2/cnt[14]:SD,
Initial_blinking_SW2/cnt[14]:SLn,
Fast_clk_SW2/cnt_RNIVBGBD1[13]:A,
Fast_clk_SW2/cnt_RNIVBGBD1[13]:B,12273
Fast_clk_SW2/cnt_RNIVBGBD1[13]:C,17121
Fast_clk_SW2/cnt_RNIVBGBD1[13]:D,
Fast_clk_SW2/cnt_RNIVBGBD1[13]:FCI,12026
Fast_clk_SW2/cnt_RNIVBGBD1[13]:FCO,12026
Fast_clk_SW2/cnt_RNIVBGBD1[13]:S,12254
Fast_clk_SW2/cnt[17]:ADn,
Fast_clk_SW2/cnt[17]:ALn,16174
